Date	Target_Return	RSI	W %R	%K	%D	Slow %K	Slow %D	%K	%D	Slow %K	Slow %D	MACD	MACD Difference	MACD Signal	PROC 1-Day	PROC 7-Day	PROC 14-Day	OBV
2017-06-26	0	28.9972980021114	-38.78431319315708	66.58221558391612	67.00535001124679	64.7956548421146	61.90653393111058	66.58221558391612	67.00535001124679	64.7956548421146	61.90653393111058	-0.2597780824657292	0.03984792270568338	-0.2996260051714126	0.1726967858765266	0.4992358975922422	-0.4176626356759918	0.3463432441764166
2017-06-27	1	28.47252522380747	-36.918819655794046	60.99159504979438	65.08384396558738	65.3268458310726	64.23622444807603	60.99159504979438	65.08384396558738	65.3268458310726	64.23622444807603	-0.24029978031868282	0.047460979882183785	-0.2877607602008666	-0.04590855464741714	0.48781409973927137	-0.3024157565583371	0.32598613154744127
2017-06-28	0	31.109805349213563	-32.97434624839971	61.57959006505649	63.051133566255686	64.71744702971823	64.94664923430183	61.57959006505649	63.051133566255686	64.71744702971823	64.94664923430183	-0.21999601222175258	0.05421179838329121	-0.2742078106050438	0.09068070833385602	0.46067091989226233	-0.07155014953796218	0.48056304375560865
2017-06-29	0	28.67834725970479	-42.14721042299902	48.33770666889696	56.96963059458263	61.03376572614309	63.692686195644654	48.33770666889696	56.96963059458263	61.03376572614309	63.692686195644654	-0.2065273621783703	0.05414435874133877	-0.2606717209197091	-0.1944407723474787	0.22036123875623304	-0.04557005685550273	0.3486908328413201
2017-06-30	0	26.25821802400016	-52.243122347354465	34.169830379998324	48.02904237131728	54.332187549532435	60.027800101797936	34.169830379998324	48.02904237131728	54.332187549532435	60.027800101797936	-0.19906505072609093	0.04928533615489453	-0.24835038688098546	-0.2144239022771315	-0.029440350095413424	-0.018817023092006103	0.1681247584283322
2017-07-03	0	24.460685760433925	-60.44863948259722	32.69369504532339	38.40041069807291	47.554483441813886	54.30681223916315	32.69369504532339	38.40041069807291	47.554483441813886	54.30681223916315	-0.195374314399114	0.04238085798549715	-0.23775517238461116	-0.17464889008176235	-0.23841000670691817	-0.1678491609474447	-0.1243952383145058
2017-07-05	0	22.2039536699056	-68.61217727739084	31.38782272260916	32.750449382643644	41.633728976376844	47.84013332257441	31.38782272260916	32.750449382643644	41.633728976376844	47.84013332257441	-0.1963871299068849	0.03309443398218101	-0.2294815638890659	-0.24243761787827423	-0.6076953840087378	-0.3468029450129966	-0.41122103396627446
2017-07-06	0	19.28738835931331	-75.12191692703207	25.2032656351974	29.76159446771	34.35846409040502	41.18222550286527	25.2032656351974	29.76159446771	34.35846409040502	41.18222550286527	-0.2043214392701458	0.020128099695136098	-0.2244495389652819	-0.371773012779382	-1.147923508223972	-0.6544184568616841	-0.8160957529839261
2017-07-07	0	17.623428571997056	-77.91892420874943	23.435482532552218	26.675523630119613	29.37801926313607	35.12340410997266	23.435482532552218	26.675523630119613	29.37801926313607	35.12340410997266	-0.21450143669075317	0.00795848181962297	-0.22245991851037614	-0.250347504297353	-1.3501084753070123	-0.8688803950720634	-1.0984760357490748
2017-07-10	0	16.49787433199978	-79.665086944842	22.927997134097815	23.855581767282498	27.129652613955965	30.2887119891657	22.927997134097815	23.855581767282498	27.129652613955965	30.2887119891657	-0.224676861524717	-0.0017735544114726998	-0.2229033071132443	-0.1852412433762626	-1.6220585750850667	-1.16886000735184	-1.408082068875005
2017-07-11	0	15.821962455627443	-79.98806309335362	25.22425995089327	23.862579872514456	25.635765595069945	27.381145824054006	25.22425995089327	23.862579872514456	25.635765595069945	27.381145824054006	-0.23298793557665576	-0.008067702770729157	-0.2249202328059266	-0.11585996814035276	-1.5446017899797588	-1.3276442548617762	-1.6920852426271877
2017-07-12	0	15.403058125764582	-82.30779758901369	26.239003709224683	24.79708693140528	24.606001792393048	25.790473333806332	26.239003709224683	24.79708693140528	24.606001792393048	25.790473333806332	-0.23864061173532392	-0.010976303143517857	-0.22766430859180606	-0.07186533514560017	-1.40394358020564	-1.4329706043958987	-1.7176145324010468
2017-07-13	1	15.30112232179117	-82.30895860401037	30.494466072440886	27.3192432441863	25.664241879841747	25.302003089101593	30.494466072440886	27.3192432441863	25.664241879841747	25.302003089101593	-0.24077164811724927	-0.010485871620354581	-0.2302857764968947	-0.01688952427798687	-1.2481269348485609	-1.4835612820463957	-1.8232413399277554
2017-07-14	1	16.96023666705987	-80.783950045052	38.50518466700821	31.746218149557947	28.678182306732946	26.316141992989262	38.50518466700821	31.746218149557947	28.678182306732946	26.316141992989262	-0.2385087388589895	-0.006578369889675834	-0.23193036896931365	0.04759901521013669	-0.9610142579641893	-1.5628696026876128	-1.5851515782645054
2017-07-17	1	19.605834459067367	-78.39278428819063	49.95898744788092	39.652879395776694	34.08438036948957	29.47560151868811	49.95898744788092	39.652879395776694	34.08438036948957	29.47560151868811	-0.23215392998535833	-0.00017884881283575238	-0.23197508117252258	0.0745982601224814	-0.517283003585321	-1.65926849860709	-1.3000996357350156
2017-07-18	1	22.0681939198726	-76.17945794057061	57.09889394226999	48.521022019053056	40.45930716776492	34.40728994799583	57.09889394226999	48.521022019053056	40.45930716776492	34.40728994799583	-0.22280425562269102	0.00733666043986525	-0.23014091606255627	0.068998653292416	-0.19879143369474817	-1.5462160090072632	-1.0591990229382728
2017-07-19	1	29.504497065889293	-68.73344271110213	66.69208279618175	57.916654728777566	48.54992298515633	41.03120350747029	66.69208279618175	57.916654728777566	48.54992298515633	41.03120350747029	-0.20739435639893955	0.018197247730893373	-0.22559160412983292	0.22163920753933536	0.208033781826651	-1.4173992230556085	-0.5989218096095388
2017-07-20	1	34.80465879439637	-61.41000120571702	68.52268854304482	64.10455509383219	56.15556747927711	48.38826587739947	68.52268854304482	64.10455509383219	56.15556747927711	48.38826587739947	-0.18854785833912757	0.029634996632564276	-0.21818285497169185	0.1758539299311414	0.5006936189464639	-1.0516418936338565	-0.05254343675627505
2017-07-21	1	38.857922920865754	-53.78183630418588	68.48839896776437	67.901056768997	62.152210339428336	55.61923360128727	68.48839896776437	67.901056768997	62.152210339428336	55.61923360128727	-0.1680043860797582	0.040142775113546914	-0.20814716119330512	0.1444650558794424	0.7182635197736161	-0.6957640750068445	0.34305203873265777
2017-07-24	1	42.414348551082114	-42.66519826890135	72.44401631106771	69.81836794062565	66.6492161120657	61.65233131025705	72.44401631106771	69.81836794062565	66.6492161120657	61.65233131025705	-0.14662987864065258	0.049213826042122044	-0.19584370468277462	0.13374690481023774	0.8700075442233209	-0.38897818911990567	0.6637285073424954
2017-07-25	1	47.846769361512195	-22.09486209944388	74.43648154722757	71.78963227535324	70.11673363305722	66.30605336151707	74.43648154722757	71.78963227535324	70.11673363305722	66.30605336151707	-0.12258892164255286	0.0586038264321774	-0.18119274807473026	0.22324343412220063	1.0470957905696134	0.0760187927635072	1.0054785870887473
2017-07-26	0	47.96082744761877	-28.020045899027892	63.972098965186866	70.28419894116074	69.57273686685825	68.7795622039937	63.972098965186866	70.28419894116074	69.57273686685825	68.7795622039937	-0.10223444424905637	0.06316664306053912	-0.1654010873095955	0.004830183113736267	0.9766497265014679	0.4543146798763923	1.0830009740846656
2017-07-27	0	47.21036803520208	-29.46319272337431	58.03881213061851	65.48246421434433	67.47596158437298	69.05514402809615	58.03881213061851	65.48246421434433	67.47596158437298	69.05514402809615	-0.08594940647286364	0.06356134466938548	-0.14951075114224913	-0.03276606996891999	0.8739619715167607	0.6734331762888875	1.0669497742779603
2017-07-28	0	46.05469110467039	-31.62327017327431	51.00560480426808	57.67217196669117	63.97940275167373	67.00936706763498	51.00560480426808	57.67217196669117	63.97940275167373	67.00936706763498	-0.07344923276077964	0.0608492147051756	-0.13429844746595523	-0.04905976730254273	0.6015010707587735	0.8107861780106518	0.9693061684982089
2017-07-31	1	44.360367778394014	-34.76890419722542	44.565934229466464	51.203450388117695	58.40378633535347	63.2863835571334	44.565934229466464	51.203450388117695	58.40378633535347	63.2863835571334	-0.06462181942476874	0.0557413024329492	-0.12036312185771794	-0.07147883583260262	0.35311738822766187	0.8555790434043721	0.8219230834584238
2017-08-01	0	44.96825659373789	-33.88738162891284	45.9713964135162	47.180978482416926	52.710769308611205	58.36465279854613	45.9713964135162	47.180978482416926	52.710769308611205	58.36465279854613	-0.056464001230125405	0.05111929650207403	-0.10758329773219943	0.020045331924112356	0.2284384341133918	0.9483427438243865	0.772601434715089
2017-08-02	0	44.041353174918655	-36.37708377154512	46.722997283000176	45.7534426419943	49.260948972173864	53.458501538712845	46.722997283000176	45.7534426419943	49.260948972173864	53.458501538712845	-0.0503376141930687	0.04579654683130459	-0.09613416102437329	-0.03603270857230463	0.05849826855206225	0.9290147521250262	0.5135129832733142
2017-08-03	1	43.64287829444558	-39.0811497091164	49.02799370325832	47.24079579992491	47.458785286701826	49.81016785582896	49.02799370325832	47.24079579992491	47.458785286701826	49.81016785582896	-0.04533969873470056	0.04063556983173819	-0.08597526856643875	-0.014902163791007877	-0.17925586990909012	0.8659629399923562	0.3221139150268795
2017-08-04	1	46.621513741945506	-35.00099437858071	59.40187188110131	51.71762095578661	49.13803870206847	48.61925765364805	59.40187188110131	51.71762095578661	49.13803870206847	48.61925765364805	-0.03874512563911381	0.03778411434185995	-0.07652923998097376	0.08579493278480914	-0.0984401578512369	0.8772481531178092	0.2633397154820103
2017-08-07	1	49.64915806497247	-32.40062377679042	67.4686651850336	58.63284358979775	53.7185848931819	50.10513629398406	67.4686651850336	58.63284358979775	53.7185848931819	50.10513629398406	-0.03084101691330332	0.036550578454136354	-0.06739159536743967	0.09102392121198008	0.02526850873519199	0.8994513174090677	0.2205614399197952
2017-08-08	0	49.95967843594421	-35.92712794019227	63.44955920351389	63.44003208988295	57.21421745118143	53.35694701547726	63.44955920351389	63.44003208988295	57.21421745118143	53.35694701547726	-0.024062442249384475	0.03466332249444416	-0.05872576474382864	0.009285998062863053	0.08365766278852423	0.6856619352847424	0.006609729404587008
2017-08-09	0	49.52062541105228	-40.57576204953175	61.96960439841686	64.29594292898814	60.26353887426478	57.06544707287603	61.96960439841686	64.29594292898814	60.26353887426478	57.06544707287603	-0.018791936009485255	0.031947062987474704	-0.05073899899695996	-0.012458694367356846	0.14276943152882993	0.4963909634442939	-0.010679455725224052
2017-08-10	0	41.244669218442546	-61.84423519301112	40.740420467034745	55.38652802298852	58.606024227020065	58.69459351748876	40.740420467034745	55.38652802298852	58.606024227020065	58.69459351748876	-0.021151813198027725	0.02366974863914579	-0.044821561837173514	-0.2655317381893311	-0.14315804023341422	0.08495336589456096	-0.24349655085144273
2017-08-11	1	40.21575910768978	-60.035766639996524	44.148497075985176	48.952840647145614	55.55534926599684	58.14163745576056	44.148497075985176	48.952840647145614	55.55534926599684	58.14163745576056	-0.02371747919724143	0.01688326611194567	-0.0406007453091871	-0.038041448075801586	-0.14516462709239972	-0.08675127733373658	-0.23249966580576656
2017-08-14	1	44.83947482250841	-52.519646130356904	52.4515569984275	45.78015818048249	52.551927628675614	55.5711003738975	52.4515569984275	45.78015818048249	52.551927628675614	55.5711003738975	-0.02245355736701171	0.01451775035374031	-0.03697130772075202	0.11934718554921357	-0.011090180325862939	-0.19032617043573544	-0.04198113385725137
2017-08-15	1	51.766455136227144	-37.86284467108171	65.74402765676177	54.1146939103915	53.01082131932519	53.70603273799921	65.74402765676177	54.1146939103915	53.01082131932519	53.70603273799921	-0.016001540689568827	0.016775813624946553	-0.03277735431451538	0.2065957184732012	0.10959366771125566	0.011045625680528833	0.1444535652700873
2017-08-16	0	59.26441201116036	-28.22530996656051	71.77469003343948	63.32342489620961	54.971838446329706	53.5115291314435	71.77469003343948	63.32342489620961	54.971838446329706	53.5115291314435	-0.003642472758937032	0.02330790524446268	-0.02695037800339971	0.2820429010086313	0.3006480869898145	0.3259925650131297	0.4631034645989085
2017-08-17	0	50.63654354831692	-44.93062034084419	55.06937965915581	64.1960324497857	57.837630284753914	55.27343001680293	55.06937965915581	64.1960324497857	57.837630284753914	55.27343001680293	-0.0012035623709714116	0.02059745250594264	-0.021801014876914052	-0.2877229352516193	0.002773862593840425	0.08643384593097964	0.18897840012741773
2017-08-18	0	39.42243133164275	-68.17894391467014	31.82105608532985	52.8883752593084	55.37214208662285	56.0605369392355	31.82105608532985	52.8883752593084	55.37214208662285	56.0605369392355	-0.012565679513162564	0.007388268291001192	-0.019953947804163756	-0.5262287619859924	-0.5110744750944235	-0.3690347016883748	-0.4236762605758091
2017-08-21	0	34.309535238124695	-71.2068079121086	28.793192087891395	38.561209277459035	50.64046910451563	54.6167471586308	28.793192087891395	38.561209277459035	50.64046910451563	54.6167471586308	-0.02966899315750382	-0.007772036282672052	-0.021896956874831768	-0.3322416402827302	-0.5776201397659547	-0.7199512703272865	-0.8447652546530722
2017-08-22	0	33.6696567771714	-68.04583485763618	31.954165142363824	30.85613777186171	43.88249660163605	49.96503593092484	31.954165142363824	30.85613777186171	43.88249660163605	49.96503593092484	-0.04387215420269186	-0.017580157862288073	-0.026291996340403787	-0.04559018861870325	-0.5851281334126865	-0.729443361432205	-0.8991728140915586
2017-08-23	0	31.148576976845963	-72.96249420217342	27.601295833247757	29.44955102116768	35.0478177615977	43.19026115591645	27.601295833247757	29.44955102116768	35.0478177615977	43.19026115591645	-0.059122535232624784	-0.0262644311137768	-0.032858104118847986	-0.18474467612537798	-0.8870802966446794	-0.8980720981660092	-1.069930921369814
2017-08-24	1	30.77308556262708	-71.86128480126195	33.026912357233805	30.860791110948483	30.6393243012133	36.523212888149004	33.026912357233805	30.860791110948483	30.6393243012133	36.523212888149004	-0.07110014462368142	-0.03059363240386674	-0.040506512219814675	-0.028150936678503703	-1.1192648770693887	-1.0108978527883172	-0.8344646928864057
2017-08-25	1	32.584264690297935	-69.65781414177835	43.35548931204946	34.66123250084369	32.94621094655722	32.87778433645606	43.35548931204946	34.66123250084369	32.94621094655722	32.87778433645606	-0.07821163603237835	-0.030164099050050942	-0.04804753698232741	0.05857202379889121	-1.3396130468696172	-1.0429924808782822	-0.7386209659814744
